"DAQ: Crosshead, … - (Timed)   ",,,
Test: Multicycle Tensile to Displacement PointsInsight1 2,,,
Test Run: Test Run 1,,,
Date: 10/13/2025 3:09:28 PM,,,
,,,
,,,
_Cycle,Crosshead ,Load ,Time 
_Cycle,mm,N,sec
1,0.0007629394645,3.05016923,0.1289999932
1,0.002339681032,18.42663956,0.2290000021
1,0.003967285011,35.01851654,0.3289999962
1,0.005594889444,51.28263092,0.4289999902
1,0.007222493423,67.07063293,0.5289999843
1,0.00879923482,82.94165802,0.6290000081
1,0.01042683925,98.36377716,0.7289999723
1,0.01205444369,113.9599991,0.8289999962
1,0.01373290979,129.5029297,0.92900002
1,0.01536051423,145.053421,1.029000044
1,0.01703898124,160.422287,1.128999949
1,0.01871744826,175.8708649,1.228999972
1,0.02039591527,191.4563904,1.328999996
1,0.02212524487,207.1104584,1.42900002
1,0.02375284748,222.1196747,1.529000044
1,0.0254313145,237.2188416,1.628999949
1,0.02705891893,252.0929718,1.728999972
1,0.02868652336,266.8244019,1.828999996
1,0.0303141278,281.15448,1.92900002
1,0.03194173041,295.969635,2.029000044
1,0.03356933667,310.3022461,2.128999949
1,0.03519693928,324.7981873,2.229000092
1,0.03682454553,339.8191223,2.328999996
1,0.03850301073,354.5472412,2.428999901
1,0.04013061698,368.9912109,2.529000044
1,0.04180908218,383.9507141,2.628999949
1,0.04348754737,398.5708923,2.729000092
1,0.04516601621,413.3542175,2.828999996
1,0.0468444814,428.2445068,2.928999901
1,0.04847208766,442.9534302,3.029000044
1,0.05015055285,457.1665344,3.128999949
1,0.0517781591,472.2510376,3.229000092
1,0.05340576172,485.9007263,3.328999996
1,0.05503336433,500.5574646,3.428999901
1,0.05666097059,514.9755859,3.529000044
1,0.0582885732,528.9776001,3.628999949
1,0.05991617945,542.8530884,3.729000092
1,0.06159464829,557.3595581,3.828999996
1,0.0632222509,571.5752563,3.928999901
1,0.06490071974,585.3201294,4.028999805
1,0.06657918129,599.9828491,4.129000187
1,0.06825765013,613.3909302,4.229000092
1,0.06993611896,628.1238403,4.328999996
1,0.07156372158,642.2698975,4.428999901
1,0.07324219041,656.1912842,4.528999805
1,0.07486979302,669.9109497,4.629000187
1,0.07649739564,683.171936,4.729000092
1,0.07807413931,697.0422363,4.828999996
1,0.07970174192,710.2750244,4.928999901
1,0.08138021076,723.6289063,5.028999805
1,0.08300781337,737.4437256,5.129000187
1,0.08468628221,751.3341064,5.229000092
1,0.08636474377,765.1092529,5.328999996
1,0.0880432126,779.0321655,5.428999901
1,0.08967081521,792.2854614,5.528999805
1,0.09134928405,805.9008789,5.629000187
1,0.09302775288,819.1213379,5.729000092
1,0.09470621444,832.5883179,5.828999996
1,0.09633382433,845.500061,5.928999901
1,0.09796142695,858.0220947,6.028999805
1,0.09958902956,870.532959,6.129000187
1,0.09994507127,874.2319946,6.229000092
1,0.09994507127,873.0255127,6.328999996
1,0.09994507127,871.6681519,6.428999901
1,0.09994507127,870.8939819,6.528999805
1,0.09994507127,870.1137695,6.629000187
1,0.09994507127,869.4053955,6.729000092
1,0.09994507127,868.8127441,6.828999996
1,0.09994507127,868.0758667,6.928999901
1,0.09994507127,867.9608154,7.028999805
1,0.09994507127,867.1772461,7.129000187
1,0.09994507127,866.6105957,7.229000092
1,0.09994507127,866.3530884,7.328999996
1,0.09994507127,865.8692627,7.428999901
1,0.09994507127,865.6517334,7.528999805
1,0.09994507127,865.1600952,7.629000187
1,0.09994507127,864.9182739,7.729000092
1,0.09994507127,864.5469971,7.828999996
1,0.09994507127,864.2576904,7.928999901
1,0.09999593021,863.9801025,8.029000282
1,0.1000976554,864.4259033,8.12899971
1,0.1001485216,864.6453247,8.229000092
1,0.1001485216,864.7315674,8.329000473
1,0.1001993805,864.6582642,8.428999901
1,0.1002502468,864.6453247,8.529000282
1,0.1001485216,864.5721436,8.62899971
1,0.1001485216,864.288208,8.729000092
1,0.1001485216,863.9628906,8.829000473
1,0.1001485216,863.708252,8.928999901
1,0.1001485216,863.7406006,9.029000282
1,0.1001485216,863.3632813,9.12899971
1,0.09994507127,863.0233765,9.229000092
1,0.09913126269,861.5513916,9.329000473
1,0.09811401105,856.7816162,9.428999901
1,0.09668985876,844.7694092,9.529000282
1,0.09511311509,828.958374,9.62899971
1,0.09348551248,812.8049927,9.729000092
1,0.09180705092,796.5695801,9.829000473
1,0.09012858209,780.2203369,9.928999901
1,0.08850097947,764.1693115,10.02900028
1,0.08682251064,747.6445923,10.12899971
1,0.0851440418,732.1273193,10.22900009
1,0.08351643919,716.0708008,10.32900047
1,0.08183797036,700.6791382,10.4289999
1,0.0801595088,685.2097778,10.52900028
1,0.07853189891,669.8041382,10.62899971
1,0.07690429629,654.5764771,10.72900009
1,0.07527669368,639.2660522,10.82900047
1,0.07364909106,624.1129761,10.9289999
1,0.07202148117,609.1503906,11.02900028
1,0.07034301962,593.7498169,11.12899971
1,0.068715417,578.4624023,11.22900009
1,0.06703694817,563.1884766,11.32900047
1,0.06535847933,547.6601563,11.4289999
1,0.06362915155,532.2543945,11.52900028
1,0.06195068272,516.8582764,11.62899971
1,0.06027221752,501.7569275,11.72900009
1,0.05864461127,486.9563293,11.82900047
1,0.05701700866,472.1560974,11.9289999
1,0.05533854346,457.485321,12.02900028
1,0.05371093721,442.8282776,12.12899971
1,0.05208333459,427.957489,12.22900009
1,0.05045572834,412.8404236,12.32900047
1,0.04882812573,398.3336792,12.4289999
1,0.04714965689,383.3897705,12.52900028
1,0.04552205428,368.251709,12.62899971
1,0.04384358544,353.2695313,12.72900009
1,0.04216512025,337.8772583,12.82900047
1,0.04048665505,323.0233154,12.9289999
1,0.03880818622,308.0414429,13.02900028
1,0.03712972102,293.0253296,13.12899971
1,0.03545125219,277.928009,13.22900009
1,0.03377278699,262.9454651,13.32900047
1,0.03214518074,248.2250977,13.4289999
1,0.03046671554,233.879776,13.52900028
1,0.02888997369,219.5758362,13.62899971
1,0.02726236926,205.0298309,13.72900009
1,0.02558390224,190.9001312,13.82900047
1,0.02395629963,175.9123077,13.9289999
1,0.02227783261,161.2011719,14.02900028
1,0.0205993656,146.5255737,14.12899971
1,0.01892089858,131.973938,14.22900009
1,0.01724243157,117.065361,14.32900047
1,0.01556396455,102.0708694,14.4289999
1,0.01388549845,87.06468201,14.52900028
1,0.01220703143,72.92765045,14.62899971
1,0.010579427,58.79687119,14.72900009
1,0.009918212527,50.70280457,14.82900047
1,0.009918212527,50.99127579,14.9289999
1,0.009918212527,50.92369461,15.02900028
1,0.009918212527,51.06332779,15.12899971
